minimum_nights,number_of_reviews,availability_365,neighbourhood_n,room_type_n,price
0.034482758620689655,0.07154213036565978,0.7589041095890411,0.11818181818181818,0.0,130
0.10344827586206896,0.0,0.0958904109589041,0.05454545454545454,0.0,299
0.06896551724137931,0.003179650238473768,0.0,0.03636363636363636,0.5,125
0.10344827586206896,0.044515103338632754,0.9972602739726028,0.11363636363636363,0.0,59
0.06896551724137931,0.022257551669316377,0.0,0.09090909090909091,0.5,135
0.034482758620689655,0.06041335453100159,0.12328767123287672,0.06818181818181818,0.0,90
0.13793103448275862,0.007949125596184421,0.0,0.05909090909090909,0.5,235
1.0,0.06518282988871224,0.6712328767123288,0.02727272727272727,0.0,60
0.06896551724137931,0.007949125596184421,0.4410958904109589,0.02727272727272727,0.0,65
1.0,0.007949125596184421,0.936986301369863,0.004545454545454545,0.5,95
0.06896551724137931,0.011128775834658189,0.0,0.12727272727272726,0.0,110
0.13793103448275862,0.0,0.4904109589041096,0.11363636363636363,0.0,130
0.034482758620689655,0.012718600953895072,0.008219178082191782,0.12727272727272726,0.5,166
0.034482758620689655,0.32114467408585057,0.7561643835616438,0.02727272727272727,0.5,125
0.06896551724137931,0.015898251192368842,0.5671232876712329,0.004545454545454545,0.5,350
0.034482758620689655,0.08585055643879173,0.5287671232876713,0.00909090909090909,0.5,80
0.0,0.007949125596184421,0.0,0.2545454545454545,0.0,58
0.034482758620689655,0.001589825119236884,0.09315068493150686,0.46818181818181814,0.0,50
0.13793103448275862,0.0,0.0,0.05454545454545454,0.5,140
0.034482758620689655,0.01907790143084261,0.052054794520547946,0.07727272727272727,0.5,154
0.06896551724137931,0.06359300476947537,0.0,0.08636363636363636,0.0,90
0.0,0.07154213036565978,0.09315068493150686,0.00909090909090909,0.0,65
0.06896551724137931,0.055643879173290944,0.6109589041095891,0.21818181818181817,0.5,499
1.0,0.001589825119236884,0.9972602739726028,0.12727272727272726,0.5,200
0.0,0.07154213036565978,0.23013698630136986,0.02727272727272727,1.0,30
0.06896551724137931,0.028616852146263912,0.0273972602739726,0.23636363636363636,0.5,200
0.034482758620689655,0.21462639109697934,0.18082191780821918,0.05454545454545454,0.5,120
0.034482758620689655,0.02702702702702703,0.07397260273972603,0.13636363636363635,0.0,75
0.034482758620689655,0.37042925278219396,0.936986301369863,0.15,0.5,175
0.4827586206896552,0.001589825119236884,0.0,0.08636363636363636,0.0,90
0.0,0.10333863275039747,0.9260273972602739,0.12727272727272726,0.0,90
0.06896551724137931,0.009538950715421305,0.0,0.13636363636363635,0.5,125
0.1724137931034483,0.0397456279809221,0.947945205479452,0.11363636363636363,0.5,120
0.034482758620689655,0.017488076311605726,0.904109589041096,0.05454545454545454,0.5,150
0.2068965517241379,0.0,0.0,0.2545454545454545,0.0,42
0.034482758620689655,0.05882352941176471,0.1917808219178082,0.7863636363636364,0.5,74
0.0,0.0,0.0,0.004545454545454545,0.5,400
0.10344827586206896,0.001589825119236884,0.0,0.05454545454545454,0.5,200
0.034482758620689655,0.025437201907790145,0.3835616438356164,0.00909090909090909,0.5,95
0.0,0.11605723370429254,0.7780821917808219,0.06818181818181818,0.0,109
0.0,0.011128775834658189,0.0,0.20909090909090908,0.5,100
0.0,0.057233704292527825,0.5178082191780822,0.24545454545454545,0.0,525
0.44827586206896547,0.004769475357710652,0.010958904109589041,0.1409090909090909,0.5,60
0.034482758620689655,0.003179650238473768,0.0,0.03636363636363636,0.0,74
0.06896551724137931,0.003179650238473768,0.0,0.09090909090909091,0.0,75
0.13793103448275862,0.001589825119236884,0.0,0.12727272727272726,0.0,60
0.034482758620689655,0.001589825119236884,0.07397260273972603,0.05454545454545454,0.5,200
0.034482758620689655,0.03497615262321145,0.1315068493150685,0.07727272727272727,0.0,63
0.2068965517241379,0.0,0.0,0.004545454545454545,0.5,200
0.034482758620689655,0.006359300476947536,0.0,0.06818181818181818,0.5,73
0.13793103448275862,0.0,0.41643835616438357,0.09545454545454544,0.5,128
